"gene_id","rank"
"ENSG00000142611.17",1
"ENSG00000196581.11",2
"ENSG00000069424.16",3
"ENSG00000142583.18",4
"ENSG00000171621.14",5
"ENSG00000171608.18",6
"ENSG00000162444.12",7
"ENSG00000189337.17",8
"ENSG00000231606.2",9
"ENSG00000171729.14",10
"ENSG00000117154.12",11
"ENSG00000127472.11",12
"ENSG00000142798.20",13
"ENSG00000173372.18",14
"ENSG00000159189.13",15
"ENSG00000173369.18",16
"ENSG00000133216.17",17
"ENSG00000117318.9",18
"ENSG00000020633.19",19
"ENSG00000117643.15",20
"ENSG00000117632.23",21
"ENSG00000142748.14",22
"ENSG00000000938.13",23
"ENSG00000162511.8",24
"ENSG00000162512.16",25
"ENSG00000182866.18",26
"ENSG00000284721.1",27
"ENSG00000121904.19",28
"ENSG00000092853.14",29
"ENSG00000119535.19",30
"ENSG00000163909.8",31
"ENSG00000127124.16",32
"ENSG00000186409.19",33
"ENSG00000162415.7",34
"ENSG00000162367.12",35
"ENSG00000290466.1",36
"ENSG00000186094.18",37
"ENSG00000174348.14",38
"ENSG00000162383.13",39
"ENSG00000157193.18",40
"ENSG00000174332.6",41
"ENSG00000162390.18",42
"ENSG00000242396.2",43
"ENSG00000234810.4",44
"ENSG00000173406.16",45
"ENSG00000283445.1",46
"ENSG00000234807.8",47
"ENSG00000226476.7",48
"ENSG00000231252.4",49
"ENSG00000237928.6",50
"ENSG00000185483.13",51
"ENSG00000158966.16",52
"ENSG00000162437.15",53
"ENSG00000116675.16",54
"ENSG00000229294.1",55
"ENSG00000116678.20",56
"ENSG00000184588.18",57
"ENSG00000118473.23",58
"ENSG00000232284.9",59
"ENSG00000116729.14",60
"ENSG00000033122.21",61
"ENSG00000050628.21",62
"ENSG00000229956.11",63
"ENSG00000172260.15",64
"ENSG00000286863.2",65
"ENSG00000137968.17",66
"ENSG00000184005.11",67
"ENSG00000154027.19",68
"ENSG00000162614.19",69
"ENSG00000122420.10",70
"ENSG00000137959.17",71
"ENSG00000162618.15",72
"ENSG00000234184.8",73
"ENSG00000117114.21",74
"ENSG00000233290.4",75
"ENSG00000237076.2",76
"ENSG00000203943.9",77
"ENSG00000153898.13",78
"ENSG00000055732.13",79
"ENSG00000142871.18",80
"ENSG00000171502.15",81
"ENSG00000236915.3",82
"ENSG00000237505.8",83
"ENSG00000286548.1",84
"ENSG00000162669.16",85
"ENSG00000097046.13",86
"ENSG00000069702.11",87
"ENSG00000162676.13",88
"ENSG00000117525.14",89
"ENSG00000224081.10",90
"ENSG00000143036.17",91
"ENSG00000271092.5",92
"ENSG00000226026.7",93
"ENSG00000228971.4",94
"ENSG00000224445.3",95
"ENSG00000079335.20",96
"ENSG00000162692.12",97
"ENSG00000215869.4",98
"ENSG00000134215.16",99
"ENSG00000162636.16",100
"ENSG00000134243.12",101
"ENSG00000143119.14",102
"ENSG00000121933.19",103
"ENSG00000171385.11",104
"ENSG00000231246.3",105
"ENSG00000143079.15",106
