"gene_id","avg_rank"
"ENSG00000171621",4.6
"ENSG00000189337",7.8
"ENSG00000171729",9.6
"ENSG00000117154",11.6
"ENSG00000127472",14
"ENSG00000142798",15.2
"ENSG00000020633",20.2
"ENSG00000142748",22.4
"ENSG00000000938",23.4
"ENSG00000162511",26
"ENSG00000162512",27
"ENSG00000119535",31
"ENSG00000162367",38.8
"ENSG00000186094",41.4
"ENSG00000234810",47
"ENSG00000185483",53.8
"ENSG00000158966",55
"ENSG00000184588",58.2
"ENSG00000118473",59.2
"ENSG00000050628",63
"ENSG00000229956",64
"ENSG00000172260",65
"ENSG00000137968",67.4
"ENSG00000184005",68.4
"ENSG00000162614",69.8
"ENSG00000137959",71.4
"ENSG00000162618",72.8
"ENSG00000117114",74
"ENSG00000153898",79
"ENSG00000142871",81
"ENSG00000237505",83.8
"ENSG00000079335",95.4
"ENSG00000162692",96.6
"ENSG00000134215",98.4
"ENSG00000143119",102
"ENSG00000231246",103.6
"ENSG00000143079",104.6
"ENSG00000134242",106.2
"ENSG00000163393",109
"ENSG00000237188",118.8
"ENSG00000183853",132.6
"ENSG00000163564",135
"ENSG00000163565",136
"ENSG00000066294",141.6
"ENSG00000117143",151.2
"ENSG00000185630",153.6
"ENSG00000198821",155.8
"ENSG00000198771",156.8
"ENSG00000231424",161.6
"ENSG00000117501",162.6
"ENSG00000116183",170.6
"ENSG00000075391",173.4
"ENSG00000228918",176.2
"ENSG00000135821",177.2
"ENSG00000135838",179.6
"ENSG00000143344",182.6
"ENSG00000116667",183.8
"ENSG00000135842",184.8
"ENSG00000143341",185.8
"ENSG00000116711",188.2
"ENSG00000090104",191.2
"ENSG00000227240",193.6
"ENSG00000066279",196
"ENSG00000081237",197.6
"ENSG00000229989",198.6
"ENSG00000118193",200.2
"ENSG00000134369",201.4
"ENSG00000133048",204.6
"ENSG00000266028",210.4
"ENSG00000196352",213.4
"ENSG00000203710",214.4
"ENSG00000230461",221.6
"ENSG00000152104",223.8
"ENSG00000196482",225.8
"ENSG00000228063",228
"ENSG00000236230",231.8
"ENSG00000154380",235
"ENSG00000143772",238.4
"ENSG00000162946",240.4
"ENSG00000116991",241.6
"ENSG00000135749",242.8
"ENSG00000183780",245.4
"ENSG00000198626",248.6
"ENSG00000133019",249.8
"ENSG00000233355",250.8
"ENSG00000180875",252
"ENSG00000117009",253.8
"ENSG00000162849",257.4
"ENSG00000235749",259.8
"ENSG00000130508",261.8
"ENSG00000151692",265.4
"ENSG00000143797",268
"ENSG00000151693",269
"ENSG00000224184",272.2
"ENSG00000287291",275
"ENSG00000197872",276
"ENSG00000233005",280.4
"ENSG00000232451",282.2
"ENSG00000119771",283.2
"ENSG00000158089",288.2
"ENSG00000013016",289.2
"ENSG00000158125",290.2
"ENSG00000152689",291.8
"ENSG00000150938",295.6
"ENSG00000227028",298.2
"ENSG00000183023",299.2
"ENSG00000152527",301.6
"ENSG00000179915",306.8
"ENSG00000214595",309
"ENSG00000115380",310.6
"ENSG00000271955",313.2
"ENSG00000119866",315.2
"ENSG00000197329",318.8
"ENSG00000143995",321.2
"ENSG00000235885",322.4
"ENSG00000115956",324.6
"ENSG00000163219",325.6
"ENSG00000169604",326.8
"ENSG00000196975",327.8
"ENSG00000176204",334.8
"ENSG00000211592",342.4
"ENSG00000144218",347.8
"ENSG00000144057",357.4
"ENSG00000172985",359.8
"ENSG00000175497",368.4
"ENSG00000019169",369.6
